=== 农田灌溉用水异常分析报告 ===
生成时间,2026-06-09T12:48:08.406358
规则版本,1.0.0

汇总统计
异常总数,35

异常ID,异常代码,异常类型,描述,地块编号,地块名称,严重程度,规则版本,批次号,检测时间,是否复核,复核结果,是否误报,复核备注,扩展信息
35,DUPLICATE_REPORT,重复上报,重复上报: 第29行 重复上报: 地块 P005 在 2025-06-03 15:00:00 的读数已存在,P005,中五号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.513956,否,,否,,"{""source_row"": 29, ""error"": ""第29行 重复上报: 地块 P005 在 2025-06-03 15:00:00 的读数已存在""}"
34,DUPLICATE_REPORT,重复上报,重复上报: 第28行 重复上报: 地块 P005 在 2025-06-02 15:00:00 的读数已存在,P005,中五号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.513556,否,,否,,"{""source_row"": 28, ""error"": ""第28行 重复上报: 地块 P005 在 2025-06-02 15:00:00 的读数已存在""}"
33,DUPLICATE_REPORT,重复上报,重复上报: 第27行 重复上报: 地块 P005 在 2025-06-01 15:00:00 的读数已存在,P005,中五号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.513139,否,,否,,"{""source_row"": 27, ""error"": ""第27行 重复上报: 地块 P005 在 2025-06-01 15:00:00 的读数已存在""}"
32,DUPLICATE_REPORT,重复上报,重复上报: 第19行 重复上报: 地块 P003 在 2025-06-04 16:00:00 的读数已存在,P003,南三号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.512744,否,,否,,"{""source_row"": 19, ""error"": ""第19行 重复上报: 地块 P003 在 2025-06-04 16:00:00 的读数已存在""}"
31,DUPLICATE_REPORT,重复上报,重复上报: 第18行 重复上报: 地块 P003 在 2025-06-02 10:00:00 的读数已存在,P003,南三号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.512328,否,,否,,"{""source_row"": 18, ""error"": ""第18行 重复上报: 地块 P003 在 2025-06-02 10:00:00 的读数已存在""}"
30,DUPLICATE_REPORT,重复上报,重复上报: 第17行 重复上报: 地块 P003 在 2025-06-01 10:00:00 的读数已存在,P003,南三号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.511933,否,,否,,"{""source_row"": 17, ""error"": ""第17行 重复上报: 地块 P003 在 2025-06-01 10:00:00 的读数已存在""}"
29,DUPLICATE_REPORT,重复上报,重复上报: 第16行 重复上报: 地块 P002 在 2025-06-05 09:00:00 的读数已存在,P002,西二号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.511529,否,,否,,"{""source_row"": 16, ""error"": ""第16行 重复上报: 地块 P002 在 2025-06-05 09:00:00 的读数已存在""}"
28,DUPLICATE_REPORT,重复上报,重复上报: 第15行 重复上报: 地块 P002 在 2025-06-04 09:00:00 的读数已存在,P002,西二号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.511108,否,,否,,"{""source_row"": 15, ""error"": ""第15行 重复上报: 地块 P002 在 2025-06-04 09:00:00 的读数已存在""}"
27,DUPLICATE_REPORT,重复上报,重复上报: 第14行 重复上报: 地块 P002 在 2025-06-03 09:00:00 的读数已存在,P002,西二号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.510712,否,,否,,"{""source_row"": 14, ""error"": ""第14行 重复上报: 地块 P002 在 2025-06-03 09:00:00 的读数已存在""}"
26,DUPLICATE_REPORT,重复上报,重复上报: 第13行 重复上报: 地块 P002 在 2025-06-02 09:00:00 的读数已存在,P002,西二号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.510279,否,,否,,"{""source_row"": 13, ""error"": ""第13行 重复上报: 地块 P002 在 2025-06-02 09:00:00 的读数已存在""}"
25,DUPLICATE_REPORT,重复上报,重复上报: 第12行 重复上报: 地块 P002 在 2025-06-01 09:00:00 的读数已存在,P002,西二号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.509873,否,,否,,"{""source_row"": 12, ""error"": ""第12行 重复上报: 地块 P002 在 2025-06-01 09:00:00 的读数已存在""}"
24,DUPLICATE_REPORT,重复上报,重复上报: 第11行 重复上报: 地块 P001 在 2025-06-15 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.509465,否,,否,,"{""source_row"": 11, ""error"": ""第11行 重复上报: 地块 P001 在 2025-06-15 08:00:00 的读数已存在""}"
23,DUPLICATE_REPORT,重复上报,重复上报: 第10行 重复上报: 地块 P001 在 2025-06-14 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.509043,否,,否,,"{""source_row"": 10, ""error"": ""第10行 重复上报: 地块 P001 在 2025-06-14 08:00:00 的读数已存在""}"
22,DUPLICATE_REPORT,重复上报,重复上报: 第9行 重复上报: 地块 P001 在 2025-06-13 08:00:00 的读数已存在,P001,东一号地块,medium,1.0.0,BATCH202606091248008721,2026-06-09T12:48:01.508642,否,,否,,"{""source_row"": 9, ""error"": ""第9行 重复上报: 地块 P001 在 2025-06-13 08:00:00 的读数已存在""}"
